event_id,prog_id,prog_name,event_class,event_title,event_venue,event_country,event_date,race_year,starters_count,finishers_count,dnf_count,finish_rate_pct,scorers_count,scoring_success_rate_pct,last_scoring_pos,zero_point_finishers,gap_1st_3rd_sec,gap_1st_10th_sec,gap_1st_30th_sec,gap_10th_30th_sec,gap_1st_last_scorer_sec,bike_pack1_size,winner_from_pack1_flag,top10_pack1_ratio_pct,scorers_pack1_ratio_pct,bike_expansion_ratio,bike_front_pack_retention,bike_solo_breakaway,swim_winner_deficit,swim_avg_pos_top10,swim_avg_pos_top30,swim_avg_pos_scorers,swim_weak_survivors_top30,swim_weak_scorers_count,swim_leader_survival_rate,swim_front_survivors,swim_dispersion_top30,bike_off_dispersion_top30,bike_off_dispersion_scorers,bike_gap_1st_10th,bike_gap_1st_30th,bike_move_up_count_top30,bike_move_up_count_scorers,run_dominance_top10,run_positions_gained_top10,run_positions_gained_top30,run_positions_gained_scorers,run_slowest_rank_top30,run_slowest_rank_scorers,run_gap_1st_10th,run_dominance_sec,run_winner_rank,run_fastest_deficit,run_time_volatility_top30,rank_winner,rank_avg_top3,rank_avg_top10,rank_avg_top30,rank_avg_scorers,rank_upset_count_top30,rank_upset_count_scorers,rank_correlation,rank_volatility_top10,rank_volatility_scorers,rank_overperformers_top20,rank_winner_is_top_ranked,rank_podium_is_top_ranked
194272,673968,Elite Women,continental_cup,2025 Europe Triathlon Cup Ceuta,Ceuta,Spain,2025-10-05,2025,34,34,0,100.0,29,85.3,29,5,12,71,346,275,294,16,1,100.0,55.2,2.77,7,0,15.0,8.4,15.3,15.0,1,1,100.0,10,22.24,61.67,59.02,,164.0,1,1,9,1.2,-0.1,-0.1,32,32,72.0,5.0,1,0.0,58.0,323,277.3,358.9,463.9,451.8,24,23,0.638278320842576,177.6,222.4,16,0,0
194205,674176,Elite Women,world_cup,2025 World Triathlon Cup Rome,Rome,Italy,2025-10-04,2025,49,47,2,95.9,40,85.1,40,7,7,36,153,117,282,2,0,0.0,5.0,2.18,5,0,39.0,24.1,20.2,21.7,6,9,90.0,11,15.68,34.13,60.79,,34.0,8,8,8,7.1,-0.8,-0.6,38,44,38.0,7.0,1,0.0,40.7,108,59.3,69.8,112.2,133.7,30,40,0.5737483545087515,42.9,86.9,20,0,0
194205,674175,Elite Men,world_cup,2025 World Triathlon Cup Rome,Rome,Italy,2025-10-04,2025,59,58,1,98.3,53,91.4,53,5,2,16,74,58,229,37,1,100.0,69.8,1.1,4,0,24.0,22.5,23.3,28.2,9,23,60.0,11,11.55,12.68,39.89,5.0,11.0,11,13,9,9.2,1.8,-0.7,37,54,16.0,3.0,1,0.0,24.48,109,95.0,118.5,143.0,198.3,30,53,0.48783940472679566,54.3,139.2,20,0,0
194295,674353,Elite Men,continental_cup,2025 Africa Triathlon Cup and Pan-Arab Championships Hurghada,Hurghada,Egypt,2025-10-03,2025,42,35,7,83.3,25,71.4,25,10,35,71,395,324,186,26,1,100.0,100.0,4.39,4,0,2.0,17.7,19.5,16.6,5,1,70.0,10,18.07,79.24,6.19,,,11,11,10,7.0,-0.4,-0.6,33,31,63.0,26.0,1,0.0,50.14,285,225.0,301.5,379.0,372.2,24,22,0.37507524329800868,207.8,215.6,18,0,0
194295,674354,Elite Women,continental_cup,2025 Africa Triathlon Cup and Pan-Arab Championships Hurghada,Hurghada,Egypt,2025-10-03,2025,25,24,1,96.0,14,58.3,14,10,3,91,,,184,13,1,100.0,92.9,6.63,8,0,3.0,9.0,13.3,9.1,0,0,90.0,10,37.25,246.8,27.19,13.0,,2,2,9,0.9,-0.2,-0.2,24,16,94.0,6.0,1,0.0,135.52,262,263.0,379.6,346.6,370.8,16,12,-0.11539238940250637,180.4,172.5,15,0,0
194853,674138,Elite Women,wtcs,2025 World Triathlon Championship Series Weihai,Weihai,China,2025-09-26,2025,28,27,1,96.4,26,96.3,26,1,21,114,,,524,24,1,100.0,88.5,3.1,4,0,7.0,10.7,14.3,13.8,0,0,100.0,16,24.78,76.79,69.53,,,6,6,10,5.1,-1.2,-1.2,27,27,113.0,21.0,1,0.0,122.15,1,4.0,29.9,61.0,62.2,24,23,0.54866527271301169,42.8,57.6,17,1,2
194741,674345,Elite Men,continental_cup,2025 Asia Triathlon Cup Turkestan,Turkestan,Kazakhstan,2025-09-26,2025,20,18,2,90.0,16,88.9,16,2,37,161,,,476,7,1,60.0,43.8,5.38,7,0,32.0,6.6,9.3,8.6,0,0,100.0,4,28.56,153.77,100.51,102.0,,0,0,8,1.2,-0.1,0.0,18,17,57.0,8.0,3,108.0,126.07,141,204.0,272.8,361.3,356.9,16,14,0.49431727406422149,191.9,221.5,16,0,1
194853,674137,Elite Men,wtcs,2025 World Triathlon Championship Series Weihai,Weihai,China,2025-09-26,2025,37,35,2,94.6,35,100.0,35,0,32,85,280,195,383,4,1,30.0,11.4,1.22,4,0,16.0,16.3,18.3,18.7,4,6,72.7,17,26.06,31.92,31.57,,85.0,5,5,8,7.0,1.6,-0.6,30,35,76.0,2.0,3,77.0,60.54,125,49.7,53.4,66.4,75.5,30,35,0.45719975047176054,48.6,62.1,20,0,0
194743,673957,Elite Men,continental_cup,2025 Asia Triathlon Cup Yilan,Yilan,Chinese Taipei,2025-09-26,2025,57,56,1,98.2,25,44.6,25,31,27,115,297,182,197,10,1,90.0,40.0,3.26,9,0,7.0,6.6,18.1,14.8,4,2,100.0,12,16.58,53.99,31.16,8.0,172.0,2,2,8,1.4,0.3,-0.2,45,37,113.0,10.0,1,0.0,47.6,142,125.3,232.0,349.7,316.8,26,24,0.80026942687790115,150.9,197.9,19,0,0
194743,673958,Elite Women,continental_cup,2025 Asia Triathlon Cup Yilan,Yilan,Chinese Taipei,2025-09-26,2025,35,33,2,94.3,18,54.5,18,15,35,89,643,554,252,17,1,100.0,94.4,4.19,8,0,30.0,11.7,16.7,10.6,2,0,90.0,2,32.92,138.08,24.27,,378.0,3,3,9,1.4,-0.2,-0.4,32,25,90.0,14.0,1,0.0,93.49,36,192.3,199.1,301.1,251.5,22,18,0.63282888893161049,121.9,182.4,20,1,1
194741,674346,Elite Women,continental_cup,2025 Asia Triathlon Cup Turkestan,Turkestan,Kazakhstan,2025-09-26,2025,7,6,1,85.7,6,100.0,6,0,163,,,,511,2,1,33.3,33.3,1.61,6,0,2.0,3.5,3.5,3.5,0,0,85.7,2,75.53,121.38,121.38,,,0,0,6,0.0,0.0,0.0,6,6,,36.0,1,0.0,133.23,343,282.3,314.0,314.0,314.0,6,6,0.12388796448836246,125.1,125.1,6,0,0
194294,673943,Elite Women,continental_cup,2025 Africa Triathlon Cup Taghazout,Taghazout,Morocco,2025-09-21,2025,25,20,5,80.0,17,85.0,17,3,65,147,,,266,11,1,100.0,64.7,10.29,9,0,14.0,6.5,10.7,9.4,0,0,100.0,15,12.27,126.24,49.89,11.0,,0,0,7,-0.2,-0.1,-0.2,20,18,162.0,65.0,1,0.0,58.91,,,,,,0,0,,,,0,0,0
194294,673942,Elite Men,continental_cup,2025 Africa Triathlon Cup Taghazout,Taghazout,Morocco,2025-09-21,2025,50,47,3,94.0,36,76.6,36,11,16,37,191,154,254,25,1,90.0,69.4,4.15,7,0,18.0,11.0,15.8,18.9,3,8,100.0,27,6.98,28.99,61.77,8.0,,5,5,7,2.4,-1.1,-1.4,43,45,25.0,8.0,1,0.0,42.61,,,,,,0,0,,,,0,0,0
194744,674341,Elite Women,continental_cup,2025 Asia Triathlon Cup Gamagori,"Gamagori Chamber of Commerce and Industry, Gamagori Ryokuchi Pier Park",Japan,2025-09-20,2025,57,55,2,96.5,48,87.3,48,7,15,40,140,100,281,1,1,10.0,2.1,1.05,4,0,0.0,21.8,21.8,25.2,9,19,63.6,2,20.96,21.95,44.42,,74.0,9,13,9,7.5,1.6,-0.2,39,53,18.0,21.0,15,108.0,39.89,,,,,,0,0,,,,0,0,0
194744,674340,Elite Men,continental_cup,2025 Asia Triathlon Cup Gamagori,"Gamagori Chamber of Commerce and Industry, Gamagori Ryokuchi Pier Park",Japan,2025-09-20,2025,70,66,4,94.3,44,66.7,44,22,5,96,196,100,251,10,1,90.0,22.7,2.75,9,0,0.0,7.4,20.9,25.2,7,15,81.8,11,14.35,39.4,48.54,9.0,107.0,8,10,6,0.2,1.3,0.2,44,55,52.0,,1,4.0,37.52,,,,,,0,0,,,,0,0,0
194204,674170,Elite Men,world_cup,2025 World Triathlon Cup Valencia,<NA>,Spain,2025-09-20,2025,0,0,0,,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,,0,0,,,,0,0,0
194204,674171,Elite Women,world_cup,2025 World Triathlon Cup Valencia,<NA>,Spain,2025-09-20,2025,0,0,0,,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,,0,0,,,,0,0,0
194197,674127,Elite Men,wtcs,2025 World Triathlon Championship Series Karlovy Vary,Karlovy Vary,Czech Republic,2025-09-14,2025,51,36,15,70.6,34,94.4,34,2,24,79,248,169,437,3,1,30.0,8.8,1.39,7,0,8.0,12.7,21.9,22.6,9,11,80.0,10,25.46,35.41,64.18,43.0,172.0,13,13,8,1.6,-0.5,-0.5,34,35,77.0,19.0,7,167.0,66.24,7,4.0,17.3,51.1,66.0,22,26,0.60921672527921622,13.7,75.8,16,0,2
194197,674128,Elite Women,wtcs,2025 World Triathlon Championship Series Karlovy Vary,Karlovy Vary,Czech Republic,2025-09-14,2025,39,29,10,74.4,24,82.8,24,5,55,214,,,479,2,0,10.0,8.3,5.53,8,0,6.0,8.0,19.1,17.4,6,5,90.0,7,27.88,154.06,83.99,70.0,,7,7,7,1.1,-0.2,-0.2,29,29,212.0,56.0,1,0.0,94.49,1,5.3,12.5,62.3,48.0,24,19,0.61161575802910573,11.8,59.3,15,1,2
194442,673932,Elite Men,continental_cup,2025 Africa Triathlon Cup Oran,Oran,Algeria,2025-09-13,2025,23,23,0,100.0,16,69.6,16,7,36,75,,,238,9,1,60.0,56.3,5.67,6,0,7.0,9.7,11.5,9.1,0,0,100.0,12,15.73,89.13,40.15,55.0,,0,0,9,2.8,-0.1,-0.1,23,22,17.0,15.0,2,62.0,64.68,97,226.0,293.1,393.1,349.4,18,16,0.80025307339646434,148.6,186.3,16,0,0
194442,673933,Elite Women,continental_cup,2025 Africa Triathlon Cup Oran,Oran,Algeria,2025-09-13,2025,18,17,1,94.4,14,82.4,14,3,5,76,,,200,1,1,10.0,7.1,8.07,7,0,6.0,5.8,8.1,6.8,0,0,100.0,12,20.44,164.98,58.21,113.0,,0,0,7,1.2,-0.7,-0.6,17,17,40.0,15.0,14,442.0,52.68,207,174.3,201.1,263.9,221.0,17,14,0.655903389170519,101.9,95.1,17,0,0
194733,674335,Elite Men,continental_cup,2025 Asia Triathlon Cup Tokyo Uminomori,Tokyo Uminomori,Japan,2025-09-13,2025,0,0,0,,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,,0,0,,,,0,0,0
194733,674336,Elite Women,continental_cup,2025 Asia Triathlon Cup Tokyo Uminomori,Tokyo Uminomori,Japan,2025-09-13,2025,0,0,0,,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,,0,0,,,,0,0,0
